title,price_gbp,rating,availability,in_stock,category,price_inr
A Light in the Attic,51.77,3,In stock,True,Poetry,5461.735000000001
Tipping the Velvet,53.74,1,In stock,True,Historical Fiction,5669.570000000001
Soumission,50.1,1,In stock,True,Fiction,5285.55
Sharp Objects,47.82,4,In stock,True,Mystery,5045.01
Sapiens: A Brief History of Humankind,54.23,5,In stock,True,History,5721.264999999999
The Requiem Red,22.65,1,In stock,True,Young Adult,2389.575
The Dirty Little Secrets of Getting Your Dream Job,33.34,4,In stock,True,Business,3517.3700000000003
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,3,In stock,True,Default,1891.615
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,4,In stock,True,Default,2384.3
The Black Maria,52.15,1,In stock,True,Poetry,5501.825
"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,2,In stock,True,Default,1475.945
Shakespeare's Sonnets,20.66,4,In stock,True,Poetry,2179.63
Set Me Free,17.46,5,In stock,True,Young Adult,1842.0300000000002
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,5,In stock,True,Sequential Art,5516.595
Rip it Up and Start Again,35.02,5,In stock,True,Music,3694.61
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,3,In stock,True,Music,6039.875
Olio,23.88,1,In stock,True,Poetry,2519.3399999999997
Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,1,In stock,True,Science Fiction,3965.7450000000003
Libertarianism for Beginners,51.33,2,In stock,True,Politics,5415.315
It's Only the Himalayas,45.17,2,In stock,True,Travel,4765.435
In Her Wake,12.84,1,In stock,True,Thriller,1354.62
How Music Works,37.32,2,In stock,True,Music,3937.26
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",30.52,3,In stock,True,Food and Drink,3219.86
Chase Me (Paris Nights #2),25.27,5,In stock,True,Romance,2665.985
Black Dust,34.53,5,In stock,True,Romance,3642.915
Birdsong: A Story in Pictures,54.64,3,In stock,True,Childrens,5764.52
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,22.5,3,In stock,True,Default,2373.75
Aladdin and His Wonderful Lamp,53.13,3,In stock,True,Default,5605.215
Worlds Elsewhere: Journeys Around Shakespeareâs Globe,40.3,5,In stock,True,Nonfiction,4251.65
Wall and Piece,44.18,4,In stock,True,Art,4660.99
The Four Agreements: A Practical Guide to Personal Freedom,17.66,5,In stock,True,Spirituality,1863.13
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,31.05,3,In stock,True,Nonfiction,3275.775
The Elephant Tree,23.82,5,In stock,True,Thriller,2513.01
The Bear and the Piano,36.89,1,In stock,True,Childrens,3891.895
Sophie's World,15.94,5,In stock,True,Philosophy,1681.6699999999998
Penny Maybe,33.29,3,In stock,True,Default,3512.095
Maude (1883-1993):She Grew Up with the country,18.02,2,In stock,True,Default,1901.11
"In a Dark, Dark Wood",19.63,1,In stock,True,Mystery,2070.9649999999997
Behind Closed Doors,52.22,4,In stock,True,Thriller,5509.21
You can't bury them all: Poems,33.63,2,In stock,True,Poetry,3547.965
Slow States of Collapse: Poems,57.31,3,In stock,True,Poetry,6046.205
Reasons to Stay Alive,26.41,2,In stock,True,Nonfiction,2786.255
Private Paris (Private #10),47.61,5,In stock,True,Fiction,5022.855
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,23.11,5,In stock,True,Nonfiction,2438.105
Without Borders (Wanderlove #1),45.07,2,In stock,True,New Adult,4754.885
When We Collided,31.77,1,In stock,True,Contemporary,3351.735
"We Love You, Charlie Freeman",50.27,5,In stock,True,Fiction,5303.485000000001
Untitled Collection: Sabbath Poems 2014,14.27,4,In stock,True,Poetry,1505.485
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",44.18,4,In stock,True,Nonfiction,4660.99
Unicorn Tracks,18.78,3,In stock,True,Fantasy,1981.2900000000002
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",25.52,1,In stock,True,History,2692.36
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),16.28,1,In stock,True,Sequential Art,1717.5400000000002
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,31.12,3,In stock,True,Nonfiction,3283.1600000000003
This One Summer,19.49,4,In stock,True,Sequential Art,2056.1949999999997
Thirst,17.27,5,In stock,True,Fiction,1821.985
The Torch Is Passed: A Harding Family Story,19.09,1,In stock,True,Add a comment,2013.995
The Secret of Dreadwillow Carse,56.13,1,In stock,True,Childrens,5921.715
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",56.41,1,In stock,True,Food and Drink,5951.254999999999
The Past Never Ends,56.5,4,In stock,True,Mystery,5960.75
The Natural History of Us (The Fine Art of Pretending #2),45.22,3,In stock,True,Young Adult,4770.71
The Nameless City (The Nameless City #1),38.16,4,In stock,True,Sequential Art,4025.8799999999997
The Murder That Never Was (Forensic Instincts #5),54.11,3,In stock,True,Fiction,5708.605
The Most Perfect Thing: Inside (and Outside) a Bird's Egg,42.96,4,In stock,True,Science,4532.28
"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",23.89,4,In stock,True,Add a comment,2520.395
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,16.77,3,In stock,True,Nonfiction,1769.235
"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",20.59,5,In stock,True,Default,2172.245
The Gutsy Girl: Escapades for Your Life of Epic Adventure,37.13,1,In stock,True,Nonfiction,3917.215
The Electric Pencil: Drawings from Inside State Hospital No. 3,56.06,1,In stock,True,Nonfiction,5914.33
The Death of Humanity: and the Case for Life,58.11,4,In stock,True,Philosophy,6130.605
"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",49.05,3,In stock,True,Health,5174.775
The Art Forger,40.76,3,In stock,True,Add a comment,4300.179999999999
The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,19.73,1,In stock,True,History,2081.515
The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,32.24,5,In stock,True,Spirituality,3401.32
